president_name,pres_num,associated_party,begin_office,end_office,url_source
George Washington,1,Federalist,1789,1797,
John Adams,2,Federalist,1797,1801,
Thomas Jefferson,3,Democratic Republican,1801,1809,
James Madison,4,Democratic Republican,1809,1817,
James Monroe,5,Democratic Republican,1817,1825,
John Quincy Adams,6,Democratic Republican,1825,1829,
Andrew Jackson,7,Democratic,1829,1837,
Martin Van Buren,8,Democratic,1837,1841,
John Tyler,10,Whig,1841,1845,
James K. Polk,11,Democratic,1845,1849,
Zachary Taylor,12,Whig,1849,1850,
Millard Fillmore,13,Whig,1850,1853,
Franklin Pierce,14,Democratic,1853,1857,
James Buchanan,15,Democratic,1857,1861,
Abraham Lincoln,16,Republican,1861,1865,
Andrew Johnson,17,Democratic/Union,1865,1869,
Ulysses S. Grant,18,Republican,1869,1877,
Rutherford B. Hayes,19,Republican,1877,1881,
Chester A. Arthur,21,Republican,1881,1885,
Grover Cleveland,22,Democratic,1885,1889,
Benjamin Harrison,23,Republican,1889,1893,
Grover Cleveland,24,Democratic,1893,1897,
William McKinley,25,Republican,1897,1901,
Theodore Roosevelt,26,Republican,1901,1909,
William Howard Taft,27,Republican,1909,1913,
Woodrow Wilson,28,Democratic,1913,1921,
Warren G. Harding,29,Republican,1921,1923,
Calvin Coolidge,30,Republican,1923,1929,
Herbert Hoover,31,Republican,1929,1933,
Franklin D. Roosevelt,32,Democratic,1933,1945,
Harry S. Truman,33,Democratic,1945,1953,
Dwight D. Eisenhower,34,Republican,1953,1961,
John F. Kennedy,35,Democratic,1961,1963,
Lyndon B. Johnson,36,Democratic,1963,1969,
Richard Nixon,37,Republican,1969,1974,
Gerald Ford,38,Republican,1974,1977,
James (Jimmy) Carter,39,Democratic,1977,1981,
Ronald Reagan,40,Republican,1981,1989,
George H.W. Bush,41,Republican,1989,1993,
William (Bill) Clinton,42,Democratic,1993,2001,"['https://fr.wikipedia.org/wiki/Bill_Clinton', 'https://www.whitehouse.gov/about-the-white-house/presidents/william-j-clinton/']"
George W. Bush,43,Republican,2001,2009,"['https://fr.wikipedia.org/wiki/George_W._Bush', 'https://www.whitehouse.gov/about-the-white-house/presidents/george-w-bush/']"
Barack Obama,44,Democratic,2009,2017,"['https://fr.wikipedia.org/wiki/Barack_Obama', 'https://www.whitehouse.gov/about-the-white-house/presidents/barack-obama/']"
Donald Trump,45,Republican,2017,2021,
Joe Biden,46,Democratic,2021,,
